scorer,DLC_resnet50_WASPNov22shuffle1_95500,DLC_resnet50_WASPNov22shuffle1_95500,DLC_resnet50_WASPNov22shuffle1_95500,DLC_resnet50_WASPNov22shuffle1_95500,DLC_resnet50_WASPNov22shuffle1_95500,DLC_resnet50_WASPNov22shuffle1_95500
bodyparts,head,head,head,stinger,stinger,stinger
coords,x,y,likelihood,x,y,likelihood
0,1086.237548828125,421.5012512207031,0.053050994873046875,1083.8658447265625,421.3041687011719,0.07366322726011276
1,1086.0203857421875,421.5442810058594,0.03531652316451073,1083.3699951171875,421.45770263671875,0.03293059021234512
2,1085.544677734375,421.8074035644531,0.017067069187760353,1082.94970703125,421.609619140625,0.010222077369689941
3,1085.08447265625,422.58984375,0.23821969330310822,1081.6279296875,425.6838073730469,0.1728968620300293
4,1085.192626953125,422.4882507324219,0.5022801756858826,1078.615478515625,427.20806884765625,0.269351065158844
5,1084.9334716796875,422.5357666015625,0.5104254484176636,1077.9530029296875,426.9003601074219,0.28384947776794434
6,1084.84814453125,422.7807922363281,0.8350903391838074,1077.07373046875,427.3033752441406,0.8024886846542358
7,1084.2120361328125,423.7139587402344,0.6615277528762817,1076.2950439453125,426.7967224121094,0.6214450597763062
8,1084.3070068359375,423.6493225097656,0.4611266255378723,1076.3564453125,426.4219665527344,0.35097160935401917
9,1084.46728515625,424.6977233886719,0.9340851902961731,1075.7523193359375,428.5489501953125,0.9421424865722656
10,1085.0128173828125,425.521240234375,0.975777268409729,1075.16455078125,429.6994934082031,0.9839091897010803
11,1085.0347900390625,425.53460693359375,0.9766359329223633,1075.2091064453125,429.8205261230469,0.9834348559379578
12,1084.6300048828125,426.09576416015625,0.9774735569953918,1075.1356201171875,429.4978942871094,0.9827540516853333
13,1084.9300537109375,425.7405090332031,0.972945511341095,1075.3758544921875,429.460693359375,0.9840747714042664
14,1085.1416015625,425.75762939453125,0.9710979461669922,1075.5780029296875,429.6273193359375,0.9858472347259521
15,1084.8338623046875,425.8417663574219,0.9728531241416931,1075.5767822265625,429.59185791015625,0.9836921691894531
16,1084.539306640625,425.6861267089844,0.973813533782959,1075.220703125,429.7728576660156,0.9817728400230408
17,1084.57470703125,426.08282470703125,0.9748584628105164,1075.11279296875,429.8365783691406,0.9834221601486206
18,1084.6632080078125,426.35614013671875,0.9765671491622925,1075.235107421875,430.1249694824219,0.9835384488105774
19,1084.462646484375,426.79522705078125,0.9812992811203003,1076.52783203125,429.4551696777344,0.9855273962020874
20,1084.6339111328125,426.8895263671875,0.9843194484710693,1076.14208984375,429.8697814941406,0.9906448125839233
21,1084.7904052734375,426.5370178222656,0.9828882813453674,1076.1944580078125,430.7028503417969,0.9933038949966431
22,1084.313720703125,426.79229736328125,0.9838804006576538,1075.662841796875,431.9263916015625,0.9919217228889465
23,1084.5,427.01629638671875,0.9799029231071472,1075.8587646484375,432.2616882324219,0.9903691411018372
24,1084.7520751953125,426.5051574707031,0.9799334406852722,1075.1319580078125,432.0789489746094,0.9897667169570923
25,1084.894775390625,426.37030029296875,0.974779486656189,1075.2838134765625,432.3627014160156,0.9901769161224365
26,1084.7886962890625,426.8404235839844,0.9830775260925293,1075.11572265625,432.9985046386719,0.9921466112136841
27,1084.6102294921875,426.7858581542969,0.9801913499832153,1074.9117431640625,433.1622314453125,0.9900913238525391
28,1084.864501953125,427.04193115234375,0.9708962440490723,1075.0772705078125,433.0895690917969,0.9833455681800842
29,1084.94580078125,426.9053649902344,0.9628797173500061,1074.917724609375,433.2705078125,0.981351375579834
30,1084.925048828125,427.0067138671875,0.92949378490448,1074.9178466796875,433.0345153808594,0.9691171050071716
31,1084.84912109375,426.8511047363281,0.9624608755111694,1074.299072265625,433.0960693359375,0.9822250604629517
32,1085.1817626953125,426.2645263671875,0.9560194611549377,1074.7586669921875,432.7253723144531,0.9838274121284485
33,1084.9180908203125,426.2203063964844,0.9632176756858826,1074.7125244140625,432.7007141113281,0.9852500557899475
34,1085.09521484375,426.55645751953125,0.9142519235610962,1074.5989990234375,432.623779296875,0.96462082862854
35,1084.958251953125,426.6463623046875,0.9494043588638306,1074.431396484375,433.0580139160156,0.9812891483306885
36,1085.249755859375,426.6672668457031,0.9625566601753235,1074.9053955078125,433.28167724609375,0.9862492084503174
37,1085.1539306640625,426.81982421875,0.9485073685646057,1075.074951171875,433.0851135253906,0.9804021716117859
38,1085.01171875,426.7129821777344,0.9542881846427917,1075.275146484375,432.71405029296875,0.9787158966064453
39,1085.1524658203125,426.9264831542969,0.923825740814209,1075.3951416015625,432.6260070800781,0.9694352149963379
40,1085.0628662109375,426.74615478515625,0.8217874765396118,1075.6805419921875,432.3414306640625,0.9276413321495056
41,1084.6905517578125,426.9821472167969,0.8130871653556824,1075.510498046875,432.860595703125,0.9233839511871338
42,1084.7999267578125,426.91363525390625,0.7291008830070496,1075.3743896484375,432.3535461425781,0.8753265738487244
43,1084.9698486328125,426.8220520019531,0.7477142214775085,1075.3985595703125,432.4842834472656,0.8996687531471252
44,1084.764404296875,426.8224792480469,0.8968480229377747,1075.4334716796875,432.8965148925781,0.9595481157302856
45,1084.96533203125,426.51739501953125,0.8127304315567017,1075.2847900390625,433.1034240722656,0.9440074563026428
46,1084.88525390625,426.3428955078125,0.9191868305206299,1075.2037353515625,433.45294189453125,0.9727879762649536
47,1084.9520263671875,426.9099426269531,0.9007665514945984,1074.6068115234375,434.2321472167969,0.9638791680335999
48,1084.5697021484375,427.1667175292969,0.9284270405769348,1073.140625,434.71051025390625,0.9683602452278137
49,1084.4334716796875,427.5157165527344,0.9445694088935852,1072.9686279296875,435.29522705078125,0.9743146896362305
50,1084.3231201171875,428.41815185546875,0.9316866397857666,1071.627685546875,436.7895812988281,0.9598857164382935
51,1084.4202880859375,428.4503479003906,0.8904033899307251,1071.597412109375,436.74285888671875,0.9188083410263062
52,1083.9542236328125,428.5194396972656,0.9633031487464905,1071.3453369140625,437.0277099609375,0.9608842134475708
53,1084.2945556640625,428.41448974609375,0.9435369968414307,1071.4765625,436.9731750488281,0.9623072743415833
54,1084.4110107421875,428.53466796875,0.9663830399513245,1071.445068359375,437.1981201171875,0.9744366407394409
55,1084.1246337890625,428.7353820800781,0.9672921299934387,1071.3380126953125,437.3138122558594,0.9726571440696716
56,1084.0482177734375,428.7098388671875,0.9595615863800049,1070.9886474609375,437.4819030761719,0.9759218096733093
57,1083.96044921875,428.76861572265625,0.9160628914833069,1070.9676513671875,437.4626770019531,0.9608284831047058
58,1083.902099609375,428.79278564453125,0.9020162224769592,1070.734619140625,437.296142578125,0.9539929032325745
59,1083.6854248046875,428.7670593261719,0.9117920994758606,1070.891357421875,437.33990478515625,0.962134838104248
60,1083.9779052734375,429.2411804199219,0.9596395492553711,1070.8214111328125,437.64971923828125,0.9751667976379395
61,1083.935302734375,429.12750244140625,0.9554613828659058,1070.65234375,437.1637878417969,0.9532340168952942
62,1083.6832275390625,428.9803161621094,0.9339918494224548,1070.7857666015625,437.18603515625,0.9278908967971802
63,1083.799072265625,429.0201416015625,0.9301973581314087,1070.94677734375,437.1724853515625,0.9231975078582764
64,1083.7503662109375,428.6881408691406,0.9614695310592651,1070.6744384765625,437.3698425292969,0.9669368863105774
65,1083.42626953125,428.5180969238281,0.9690808653831482,1070.16943359375,437.4096374511719,0.9857708215713501
66,1083.2982177734375,428.19122314453125,0.9457184076309204,1069.1724853515625,436.95391845703125,0.97080397605896
67,1082.9014892578125,427.7301330566406,0.9370066523551941,1068.205810546875,436.4058532714844,0.9460819959640503
68,1083.06982421875,428.16253662109375,0.8746163249015808,1067.4525146484375,436.760498046875,0.9194235801696777
69,1083.0675048828125,428.5323486328125,0.8260170221328735,1066.9285888671875,436.8211975097656,0.911249577999115
70,1082.9967041015625,428.2753601074219,0.8876346945762634,1066.848388671875,436.7598876953125,0.9455780982971191
71,1083.022705078125,428.4712219238281,0.8329655528068542,1066.544677734375,436.8504333496094,0.9115133881568909
72,1083.163818359375,428.3595886230469,0.9503312110900879,1066.4986572265625,436.50030517578125,0.9832258820533752
73,1083.214111328125,428.49737548828125,0.8240234851837158,1066.623779296875,436.5705261230469,0.9297904968261719
74,1082.9708251953125,428.4020690917969,0.9009565711021423,1066.775146484375,436.56231689453125,0.955457329750061
75,1082.96044921875,428.42266845703125,0.946831226348877,1066.9158935546875,436.42669677734375,0.9772090911865234
76,1082.8017578125,428.39678955078125,0.9530600905418396,1066.8760986328125,436.6421203613281,0.9828047752380371
77,1082.8382568359375,428.3577575683594,0.9356794357299805,1066.6474609375,436.6070556640625,0.9743104577064514
78,1082.9100341796875,428.3826599121094,0.9677546620368958,1066.399658203125,436.4945373535156,0.9844853281974792
79,1082.366455078125,428.4424743652344,0.9679570198059082,1065.4901123046875,436.24700927734375,0.9752112627029419
80,1082.2479248046875,428.6733703613281,0.945756733417511,1066.6253662109375,435.4059143066406,0.9701736569404602
81,1081.686279296875,428.9677429199219,0.5309246182441711,1065.1737060546875,435.5830383300781,0.8790526390075684
82,1079.7979736328125,432.3399658203125,0.6141153573989868,1064.3509521484375,435.94952392578125,0.9243452548980713
83,1079.6416015625,432.57708740234375,0.7977835536003113,1064.1810302734375,436.16876220703125,0.9631986618041992
84,1079.33056640625,432.78662109375,0.4770858585834503,1063.2623291015625,436.09759521484375,0.8480647802352905
85,1079.2882080078125,432.6557922363281,0.4171438217163086,1063.3585205078125,436.2341613769531,0.8408806324005127
86,1079.4530029296875,432.7713623046875,0.7453551292419434,1063.4581298828125,436.55303955078125,0.9633652567863464
87,1079.415771484375,432.7316589355469,0.5025327801704407,1063.6983642578125,436.4360656738281,0.9105950593948364
88,1078.627685546875,433.42120361328125,0.18140177428722382,1063.810791015625,436.49542236328125,0.7187298536300659
89,1078.7265625,433.2732849121094,0.44974204897880554,1064.019775390625,436.3712158203125,0.8393087387084961
90,1078.4478759765625,433.5773010253906,0.31026971340179443,1063.8975830078125,436.498779296875,0.8155679106712341
91,1079.064697265625,433.4115295410156,0.4710785448551178,1064.020263671875,436.6609191894531,0.8764079213142395
92,1078.7698974609375,433.4412841796875,0.22677910327911377,1064.072021484375,436.693359375,0.7637830972671509
93,1078.930419921875,433.32000732421875,0.34294167160987854,1063.9609375,436.6662902832031,0.8461163640022278
94,1078.7822265625,433.5332946777344,0.09372881799936295,1064.2398681640625,436.37164306640625,0.539252758026123
95,1078.735595703125,433.61383056640625,0.052742138504981995,1063.9234619140625,436.3516845703125,0.3779267966747284
96,1079.8956298828125,432.95068359375,0.7275013327598572,1065.2125244140625,437.0974426269531,0.9233513474464417
97,1079.95654296875,432.8766174316406,0.6281338334083557,1065.382568359375,437.266357421875,0.875554621219635
98,1079.132568359375,432.3684387207031,0.7985124588012695,1064.9190673828125,438.1741027832031,0.9553971886634827
99,1078.604248046875,432.3497619628906,0.8932393789291382,1064.5499267578125,438.6793212890625,0.9631342887878418
100,1078.374267578125,432.69769287109375,0.9000094532966614,1064.4512939453125,438.7754211425781,0.9652159810066223
101,1078.1014404296875,432.8067932128906,0.8001104593276978,1064.19873046875,438.7772216796875,0.9304372072219849
102,1078.0047607421875,432.792724609375,0.8158900737762451,1064.14501953125,438.712646484375,0.9471168518066406
103,1077.3936767578125,432.98565673828125,0.7333263754844666,1063.427734375,438.9239807128906,0.9342913031578064
104,1077.3377685546875,433.0158996582031,0.755055844783783,1063.4224853515625,438.9962158203125,0.9296483993530273
105,1077.1156005859375,433.1528625488281,0.7707586288452148,1063.512939453125,438.7123718261719,0.9094710946083069
106,1077.0579833984375,432.8633117675781,0.9406372904777527,1063.134765625,438.9044494628906,0.9701383113861084
107,1077.2459716796875,432.8414306640625,0.928360641002655,1063.1829833984375,438.8087158203125,0.9664734601974487
108,1077.9705810546875,432.3718566894531,0.9807279109954834,1062.874267578125,438.5185241699219,0.9881932735443115
109,1077.65087890625,432.6192321777344,0.9575155377388,1063.2867431640625,438.41253662109375,0.9758291244506836
110,1078.0390625,432.4831848144531,0.9635270237922668,1063.44140625,438.3819885253906,0.9761933088302612
111,1077.917236328125,432.61163330078125,0.9689093232154846,1063.26318359375,438.41558837890625,0.9761927723884583
112,1077.16064453125,433.2193603515625,0.7028216123580933,1063.0584716796875,438.4628601074219,0.8113042712211609
113,1077.1075439453125,433.202880859375,0.6284626722335815,1062.8389892578125,438.41583251953125,0.788621723651886
114,1076.4185791015625,433.7590026855469,0.11699417978525162,1060.913330078125,437.8392639160156,0.50455641746521
115,1076.953125,433.4950866699219,0.3414519131183624,1062.8087158203125,438.101806640625,0.6907851696014404
116,1077.1448974609375,433.47216796875,0.5256701111793518,1063.1842041015625,438.2760314941406,0.8124318718910217
117,1077.22802734375,433.4484558105469,0.5321105718612671,1063.376953125,438.2651672363281,0.7820273637771606
118,1076.9334716796875,433.5890808105469,0.24094879627227783,1062.9991455078125,438.18450927734375,0.547606348991394
119,1076.7510986328125,433.3562927246094,0.8295148015022278,1062.4788818359375,438.0946350097656,0.8957556486129761
120,1076.695068359375,433.0993347167969,0.11208385974168777,1062.1513671875,435.6999816894531,0.3032602369785309
121,1076.3880615234375,432.7554626464844,0.3284185528755188,1062.096435546875,435.627197265625,0.4733271598815918
122,1075.4317626953125,432.9260559082031,0.3873395323753357,1061.0264892578125,436.0191650390625,0.5448701977729797
123,1074.744140625,433.19281005859375,0.18013258278369904,1060.0926513671875,436.0723571777344,0.41486772894859314
124,1074.324951171875,433.4687805175781,0.33937954902648926,1059.6951904296875,436.4263610839844,0.6191980838775635
125,1074.4542236328125,433.1567687988281,0.5513134598731995,1059.6229248046875,436.5628662109375,0.7251892685890198
126,1074.475830078125,433.07598876953125,0.643059492111206,1059.6590576171875,436.7166442871094,0.7751457691192627
127,1074.7171630859375,432.86279296875,0.7706202268600464,1059.714599609375,436.753662109375,0.8724433183670044
128,1074.4039306640625,433.0693054199219,0.7076880931854248,1059.2894287109375,436.902099609375,0.850001335144043
129,1074.3516845703125,432.9541320800781,0.6938257813453674,1059.327880859375,436.6802673339844,0.8460071086883545
130,1074.3345947265625,432.841064453125,0.7300453186035156,1059.1416015625,436.820068359375,0.868391752243042
131,1074.156494140625,433.1357116699219,0.5153183937072754,1059.1651611328125,436.60528564453125,0.8095243573188782
